",""Species"",""Min"",""1stQ"",""Median"",""Mean"",""3rdQ"",""Max"""
"1,""Venus verrucosa"",""9.73"",""12.09"",""13.18"",""14.49"",""17.22"",""24.6"""
"2,""Venerupis rhomboides"",""9.71"",""11.27"",""12.62"",""12.05"",""12.78"",""19.91"""
"3,""Venerupis corrugata"",""9.71"",""10.78"",""12.04"",""11.65"",""12.15"",""23.07"""
"4,""Venerupis aurea"",""4.5"",""13.95"",""15.83"",""15.66"",""17.42"",""22.62"""
"5,""Valamugil seheli"",""19.01"",""26.13"",""27.47"",""27.15"",""28.64"",""29.87"""
"6,""Undaria pinnatifida"",""10.42"",""14.49"",""15.23"",""16.24"",""17.66"",""21.56"""
"7,""Umbrina cirrosa"",""13.86"",""18.94"",""26.65"",""23.97"",""27.65"",""29.18"""
"8,""Turbo setosus"",""23.14"",""26.11"",""27.77"",""27.51"",""28.69"",""29.79"""
"9,""Turbo cornutus"",""17.55"",""17.61"",""21.08"",""21.51"",""24.71"",""27.1"""
"10,""Tridacna squamosa"",""24.29"",""28.06"",""28.72"",""28.42"",""29.13"",""29.92"""
"11,""Tridacna maxima"",""9.43"",""25.5"",""28.01"",""27.37"",""28.77"",""29.81"""
"12,""Tridacna gigas"",""25.09"",""26.45"",""28.64"",""28.06"",""29.27"",""29.79"""
"13,""Tridacna derasa"",""4.12"",""25.28"",""27.29"",""26.99"",""29.18"",""29.48"""
"14,""Tridacna crocea"",""23.95"",""28.47"",""29.18"",""28.66"",""29.22"",""29.81"""
"15,""Tresus nuttallii"",""9.63"",""11.62"",""13.61"",""13.61"",""15.59"",""17.58"""
"16,""Trachurus japonicus"",""9.28"",""20.71"",""22.72"",""22.35"",""23.83"",""27.29"""
"17,""Trachinotus ovatus"",""10.29"",""21.39"",""26.14"",""24.56"",""27.64"",""28.06"""
"18,""Trachinotus carolinus"",""7.51"",""22.32"",""23.62"",""23.02"",""24.23"",""28.93"""
"19,""Trachinotus blochii"",""8.73"",""25.51"",""26.91"",""26.36"",""27.78"",""30.11"""
"20,""Thunnus thynnus"",""5.99"",""16.34"",""18.89"",""20.25"",""25.92"",""28.69"""
"21,""Thunnus orientalis"",""6.37"",""23.48"",""24.42"",""24.3"",""26.17"",""29"""
"22,""Thunnus maccoyii"",""7.89"",""18.57"",""19.65"",""19.8"",""21.08"",""28.49"""
"23,""Thunnus albacares"",""8.67"",""23.71"",""26.12"",""24.7"",""27.45"",""29.8"""
"24,""Thenus orientalis"",""23.31"",""27"",""27.04"",""27.3"",""27.88"",""29.66"""
"25,""Tegillarca granosa"",""20.35"",""27.78"",""28.5"",""27.78"",""28.54"",""29.79"""
"26,""Polititapes rhomboides"",""9.71"",""11.27"",""12.62"",""12.05"",""12.78"",""19.91"""
"27,""Takifugu rubripes"",""10"",""18.02"",""19.73"",""19.91"",""22.57"",""26.01"""
"28,""Synodus marchenae"",""18.53"",""20.52"",""22.5"",""21.18"",""22.5"",""22.5"""
"29,""Symphysanodon berryi"",""23.19"",""27.52"",""27.8"",""27.41"",""27.96"",""28.68"""
"30,""Aliger gigas"",""18.56"",""28.11"",""28.11"",""27.91"",""28.12"",""28.89"""
